Probe.Set.ID	UniGene.ID	Gene.Title	Gene.Symbol	RefSeq.Transcript.ID
200001_at	Hs.515371	calpain, small subunit 1 /// calpain, small subunit 1	CAPNS1	NM_001003962 /// NM_001749 
200002_at	Hs.449044	ribosomal protein L35 /// ribosomal protein L35	RPL35	NM_007209 
200003_s_at	Hs.356371	ribosomal protein L28 /// ribosomal protein L28	RPL28	NM_000991 
200004_at	Hs.183684	eukaryotic translation initiation factor 4 gamma, 2 /// eukaryotic translation initiation factor 4 gamma, 2	EIF4G2	NM_001418 
200005_at	Hs.55682	eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa /// eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67kDa	EIF3S7	NM_003753 
200006_at	Hs.419640	Parkinson disease (autosomal recessive, early onset) 7 /// Parkinson disease (autosomal recessive, early onset) 7	PARK7	NM_007262 
200007_at	Hs.533732	signal recognition particle 14kDa (homologous Alu RNA binding protein) /// signal recognition particle 14kDa (homologous Alu RNA binding protein)	SRP14	NM_003134 
200008_s_at	Hs.299055	GDP dissociation inhibitor 2 /// GDP dissociation inhibitor 2	GDI2	NM_001494 
200009_at	Hs.299055	GDP dissociation inhibitor 2 /// GDP dissociation inhibitor 2	GDI2	NM_001494 
200010_at	Hs.388664	Ribosomal protein L11 /// Ribosomal protein L11	RPL11	NM_000975 
200011_s_at	Hs.119177	ADP-ribosylation factor 3 /// ADP-ribosylation factor 3	ARF3	NM_001659 
200012_x_at	Hs.381123	ribosomal protein L21 /// ribosomal protein L21	RPL21	NM_000982 
200013_at	Hs.547172	ribosomal protein L24 /// ribosomal protein L24	RPL24	NM_000986 
200014_s_at	Hs.567504	heterogeneous nuclear ribonucleoprotein C (C1/C2) /// heterogeneous nuclear ribonucleoprotein C (C1/C2)	HNRPC	NM_004500 /// NM_031314 
200015_s_at	Hs.335057	septin 2 /// septin 2	2006-09-02	NM_001008491 /// NM_001008492 /// NM_004404 /// NM_006155 
200016_x_at	Hs.546261	heterogeneous nuclear ribonucleoprotein A1 /// heterogeneous nuclear ribonucleoprotein A1	HNRPA1	NM_002136 /// NM_031157 
200017_at	Hs.311640	ribosomal protein S27a /// ribosomal protein S27a	RPS27A	NM_002954 
200018_at	Hs.446588	ribosomal protein S13 /// ribosomal protein S13	RPS13	NM_001017 
200019_s_at	Hs.387208	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30 /// Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30	FAU	NM_001997 
200020_at	Hs.300624	TAR DNA binding protein /// TAR DNA binding protein	TARDBP	NM_007375 
200021_at	Hs.170622	cofilin 1 (non-muscle) /// cofilin 1 (non-muscle)	CFL1	NM_005507 
200022_at	Hs.515517	ribosomal protein L18 /// ribosomal protein L18	RPL18	NM_000979 
200023_s_at	Hs.558426	eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa /// eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa	EIF3S5	NM_003754 
200024_at	Hs.378103	ribosomal protein S5 /// ribosomal protein S5	RPS5	NM_001009 
200025_s_at	Hs.514196	ribosomal protein L27 /// ribosomal protein L27	RPL27	NM_000988 
200026_at	Hs.512199	ribosomal protein L34 /// ribosomal protein L34 /// similar to ribosomal protein L34; 60S ribosomal protein L34 /// similar to ribosomal protein L34; 60S ribosomal protein L34	RPL34 /// LOC342994	NM_000995 /// NM_033625 /// XM_292836 
200027_at	Hs.465224	asparaginyl-tRNA synthetase /// asparaginyl-tRNA synthetase	NARS	NM_004539 
200028_s_at	Hs.469331	START domain containing 7 /// START domain containing 7	STARD7	NM_020151 /// NM_139267 
200029_at	Hs.558384	ribosomal protein L19 /// ribosomal protein L19	RPL19	NM_000981 
200030_s_at	Hs.290404	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3 /// solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3	SLC25A3	NM_002635 /// NM_005888 /// NM_213611 /// NM_213612 
200031_s_at	Hs.433529	ribosomal protein S11 /// ribosomal protein S11	RPS11	NM_001015 
200032_s_at	Hs.513083	ribosomal protein L9 /// ribosomal protein L9	RPL9	NM_000661 /// NM_001024921 
200033_at	Hs.279806	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	DDX5	NM_004396 
200034_s_at	Hs.528668	ribosomal protein L6 /// ribosomal protein L6	RPL6	NM_000970 /// NM_001024662 
200035_at	Hs.513913	dullard homolog (Xenopus laevis) /// dullard homolog (Xenopus laevis)	DULLARD	NM_015343 
200036_s_at	Hs.546269	ribosomal protein L10a /// ribosomal protein L10a	RPL10A	NM_007104 
200037_s_at	Hs.381189	chromobox homolog 3 (HP1 gamma homolog, Drosophila) /// chromobox homolog 3 (HP1 gamma homolog, Drosophila)	CBX3	NM_007276 /// NM_016587 
200038_s_at	Hs.293653	ribosomal protein L17 /// ribosomal protein L17	RPL17	NM_000985 /// NM_001035006 
200039_s_at	Hs.471441	proteasome (prosome, macropain) subunit, beta type, 2 /// proteasome (prosome, macropain) subunit, beta type, 2	PSMB2	NM_002794 
200040_at	Hs.445893	KH domain containing, RNA binding, signal transduction associated 1 /// KH domain containing, RNA binding, signal transduction associated 1	KHDRBS1	NM_006559 
200041_s_at	Hs.254042	HLA-B associated transcript 1 /// HLA-B associated transcript 1	BAT1	NM_004640 /// NM_080598 
200042_at	Hs.474643	hypothetical protein HSPC117 /// hypothetical protein HSPC117	HSPC117	NM_014306 
200043_at	Hs.509791	enhancer of rudimentary homolog (Drosophila) /// enhancer of rudimentary homolog (Drosophila)	ERH	NM_004450 
200044_at	Hs.369624	splicing factor, arginine/serine-rich 9 /// splicing factor, arginine/serine-rich 9	SFRS9	NM_003769 
200045_at	Hs.9573	ATP-binding cassette, sub-family F (GCN20), member 1 /// ATP-binding cassette, sub-family F (GCN20), member 1	ABCF1	NM_001025091 /// NM_001090 
200046_at	Hs.82890	defender against cell death 1 /// defender against cell death 1	DAD1	NM_001344 
200047_s_at	Hs.388927	YY1 transcription factor /// YY1 transcription factor	YY1	NM_003403 
200048_s_at	Hs.6396	jumping translocation breakpoint /// jumping translocation breakpoint	JTB	NM_006694 
200049_at	Hs.21907	MYST histone acetyltransferase 2 /// MYST histone acetyltransferase 2	MYST2	NM_007067 
200050_at	Hs.301819	zinc finger protein 146 /// zinc finger protein 146	ZNF146	NM_007145 
200051_at	Hs.502883	squamous cell carcinoma antigen recognised by T cells /// squamous cell carcinoma antigen recognised by T cells	SART1	NM_005146 
200052_s_at	Hs.75117	interleukin enhancer binding factor 2, 45kDa /// interleukin enhancer binding factor 2, 45kDa	ILF2	NM_004515 
200053_at	Hs.90436	sperm associated antigen 7 /// sperm associated antigen 7	SPAG7	NM_004890 
200054_at	Hs.7165	zinc finger protein 259 /// zinc finger protein 259	ZNF259	NM_003904 
200055_at	Hs.558405	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa /// TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	TAF10	NM_006284 
200056_s_at	Hs.328883	nuclear DNA-binding protein /// nuclear DNA-binding protein	C1D	NM_006333 /// NM_173177 
200057_s_at	Hs.533282	non-POU domain containing, octamer-binding /// non-POU domain containing, octamer-binding	NONO	NM_007363 
200058_s_at	Hs.246112	activating signal cointegrator 1 complex subunit 3-like 1 /// activating signal cointegrator 1 complex subunit 3-like 1	ASCC3L1	NM_014014 
200059_s_at	Hs.247077	ras homolog gene family, member A /// ras homolog gene family, member A	RHOA	NM_001664 
200060_s_at	Hs.355643	RNA binding protein S1, serine-rich domain /// RNA binding protein S1, serine-rich domain	RNPS1	NM_006711 /// NM_080594 
200061_s_at	Hs.558390	ribosomal protein S24 /// ribosomal protein S24	RPS24	NM_001026 /// NM_033022 
200062_s_at	Hs.400295	ribosomal protein L30 /// ribosomal protein L30	RPL30	NM_000989 
200063_s_at	Hs.557550	nucleophosmin (nucleolar phosphoprotein B23, numatrin) /// nucleophosmin (nucleolar phosphoprotein B23, numatrin)	NPM1	NM_002520 /// NM_199185 
200064_at	Hs.509736	heat shock 90kDa protein 1, beta /// heat shock 90kDa protein 1, beta	HSPCB	NM_007355 
200065_s_at	Hs.286221	ADP-ribosylation factor 1 /// ADP-ribosylation factor 1	ARF1	NM_001024226 /// NM_001024227 /// NM_001024228 /// NM_001658 
200066_at	Hs.558345	IK cytokine, down-regulator of HLA II /// IK cytokine, down-regulator of HLA II	IK	NM_006083 
200067_x_at	Hs.12102	sorting nexin 3 /// sorting nexin 3	SNX3	NM_003795 /// NM_152827 /// NM_152828 
200068_s_at	Hs.529890	calnexin /// calnexin	CANX	NM_001024649 /// NM_001746 
200069_at	Hs.506663	squamous cell carcinoma antigen recognised by T cells 3 /// squamous cell carcinoma antigen recognised by T cells 3	SART3	NM_014706 
200070_at	Hs.4973	chromosome 2 open reading frame 24 /// chromosome 2 open reading frame 24	C2orf24	NM_015680 
200071_at	Hs.79968	survival motor neuron domain containing 1 /// survival motor neuron domain containing 1	SMNDC1	NM_005871 
200072_s_at	Hs.465808	heterogeneous nuclear ribonucleoprotein M /// heterogeneous nuclear ribonucleoprotein M	HNRPM	NM_005968 /// NM_031203 
200073_s_at	Hs.480073	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) /// heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	HNRPD	NM_001003810 /// NM_002138 /// NM_031369 /// NM_031370 
200074_s_at	Hs.446522	ribosomal protein L14 /// ribosomal protein L14 /// ribosomal protein L14-like /// ribosomal protein L14-like	RPL14 /// RPL14L	NM_001034996 /// NM_003973 /// XM_056681 
200075_s_at	Hs.376933	guanylate kinase 1 /// guanylate kinase 1	GUK1	NM_000858 
200076_s_at	Hs.369785	hypothetical protein MGC2749 /// hypothetical protein MGC2749	MGC2749	NM_024069 
200077_s_at	Hs.446427	ornithine decarboxylase antizyme 1 /// ornithine decarboxylase antizyme 1	OAZ1	NM_004152 
200078_s_at	Hs.7476	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c'' /// ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c''	ATP6V0B	NM_004047 
200079_s_at	Hs.3100	lysyl-tRNA synthetase /// lysyl-tRNA synthetase	KARS	NM_005548 
200080_s_at	Hs.533624	H3 histone, family 3A /// H3 histone, family 3A /// H3 histone, family 3A pseudogene /// H3 histone, family 3A pseudogene	H3F3A /// LOC440926	NM_002107 /// NR_002315 
200081_s_at	Hs.408073	ribosomal protein S6 /// ribosomal protein S6	RPS6	NM_001010 
200082_s_at	Hs.546287	ribosomal protein S7 /// ribosomal protein S7	RPS7	NM_001011 
200083_at	Hs.462492	ubiquitin specific peptidase 22 /// ubiquitin specific peptidase 22	USP22	XM_042698 
200084_at	Hs.546339	small acidic protein /// small acidic protein	SMAP	NM_014267 
200085_s_at	Hs.172772	transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B) /// transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)	TCEB2	NM_007108 /// NM_207013 
200086_s_at	Hs.433419	cytochrome c oxidase subunit IV isoform 1 /// cytochrome c oxidase subunit IV isoform 1	COX4I1	NM_001861 
200087_s_at	Hs.75914	transmembrane emp24 domain trafficking protein 2 /// transmembrane emp24 domain trafficking protein 2	TMED2	NM_006815 
200088_x_at	Hs.408054	ribosomal protein L12 /// ribosomal protein L12	RPL12	NM_000976 
200089_s_at	Hs.432898	ribosomal protein L4 /// ribosomal protein L4	RPL4	NM_000968 
200090_at	Hs.370312	farnesyltransferase, CAAX box, alpha /// farnesyltransferase, CAAX box, alpha	FNTA	NM_001018676 /// NM_001018677 /// NM_002027 
200091_s_at	Hs.519520	ribosomal protein S25 /// ribosomal protein S25	RPS25	NM_001028 
200092_s_at	Hs.80545	ribosomal protein L37 /// ribosomal protein L37	RPL37	NM_000997 
200093_s_at	Hs.483305	histidine triad nucleotide binding protein 1 /// histidine triad nucleotide binding protein 1	HINT1	NM_005340 
200094_s_at	Hs.515070	eukaryotic translation elongation factor 2 /// eukaryotic translation elongation factor 2	EEF2	NM_001961 
200095_x_at	Hs.406620	ribosomal protein S10 /// ribosomal protein S10	RPS10	NM_001014 
200096_s_at	Hs.484188	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e /// ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e	ATP6V0E	NM_003945 
200097_s_at	Hs.522257	heterogeneous nuclear ribonucleoprotein K /// heterogeneous nuclear ribonucleoprotein K	HNRPK	NM_002140 /// NM_031262 /// NM_031263 
200098_s_at	Hs.7101	anaphase promoting complex subunit 5 /// anaphase promoting complex subunit 5	ANAPC5	NM_016237 
200099_s_at	Hs.558388	ribosomal protein S3A /// ribosomal protein S3A	RPS3A	NM_001006 
200593_s_at	Hs.166463	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	HNRPU	NM_004501 /// NM_031844 
200594_x_at	Hs.166463	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	HNRPU	NM_004501 /// NM_031844 
200595_s_at	Hs.523299	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa	EIF3S10	NM_003750 
200596_s_at	Hs.523299	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa	EIF3S10	NM_003750 
200597_at	Hs.523299	eukaryotic translation initiation factor 3, subunit 10 theta, 150/170kDa	EIF3S10	NM_003750 
200598_s_at	Hs.192374	tumor rejection antigen (gp96) 1	TRA1	NM_003299 
200599_s_at	Hs.192374	tumor rejection antigen (gp96) 1	TRA1	NM_003299 
200600_at	Hs.87752	moesin	MSN	NM_002444 
200601_at	Hs.270291	actinin, alpha 4	ACTN4	NM_004924 
200602_at	Hs.434980	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	APP	NM_000484 /// NM_201413 /// NM_201414 
200603_at	Hs.280342	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	PRKAR1A	NM_002734 /// NM_212471 /// NM_212472 
200604_s_at	Hs.280342	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	PRKAR1A	NM_002734 /// NM_212471 /// NM_212472 
200605_s_at	Hs.280342	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	PRKAR1A	NM_002734 /// NM_212471 /// NM_212472 
200606_at	Hs.519873	desmoplakin	DSP	NM_001008844 /// NM_004415 
200607_s_at	Hs.81848	RAD21 homolog (S. pombe)	RAD21	NM_006265 
200608_s_at	Hs.81848	RAD21 homolog (S. pombe)	RAD21	NM_006265 
200609_s_at	Hs.128548	WD repeat domain 1	WDR1	NM_005112 /// NM_017491 
200610_s_at	Hs.562850	nucleolin	NCL	NM_005381 
200611_s_at	Hs.128548	WD repeat domain 1	WDR1	NM_005112 /// NM_017491 
200612_s_at	Hs.514819	adaptor-related protein complex 2, beta 1 subunit	AP2B1	NM_001030006 /// NM_001282 
200613_at	Hs.518460	adaptor-related protein complex 2, mu 1 subunit	AP2M1	NM_001025205 /// NM_004068 
200614_at	Hs.491351	clathrin, heavy polypeptide (Hc)	CLTC	NM_004859 
200615_s_at	Hs.514819	adaptor-related protein complex 2, beta 1 subunit	AP2B1	NM_001030006 /// NM_001282 
200616_s_at	Hs.507074	KIAA0152	KIAA0152	NM_014730 
200617_at	Hs.507074	KIAA0152	KIAA0152	NM_014730 
200618_at	Hs.334851	LIM and SH3 protein 1	LASP1	NM_006148 
200619_at	Hs.406423	splicing factor 3b, subunit 2, 145kDa	SF3B2	NM_006842 
200620_at	Hs.523262	transmembrane protein 59	TMEM59	NM_004872 
200621_at	Hs.108080	cysteine and glycine-rich protein 1	CSRP1	NM_004078 
200622_x_at	Hs.515487	calmodulin 3 (phosphorylase kinase, delta)	CALM3	NM_005184 
200623_s_at	Hs.515487	calmodulin 3 (phosphorylase kinase, delta)	CALM3	NM_005184 
200624_s_at	Hs.268939	matrin 3	MATR3	NM_018834 /// NM_199189 
200625_s_at	Hs.370581	CAP, adenylate cyclase-associated protein 1 (yeast)	CAP1	NM_006367 
200626_s_at	Hs.268939	matrin 3	MATR3	NM_018834 /// NM_199189 
200627_at	Hs.50425	prostaglandin E synthase 3 (cytosolic)	PTGES3	NM_006601 
200628_s_at	Hs.497599	tryptophanyl-tRNA synthetase	WARS	NM_004184 /// NM_173701 /// NM_213645 /// NM_213646 
200629_at	Hs.497599	tryptophanyl-tRNA synthetase	WARS	NM_004184 /// NM_173701 /// NM_213645 /// NM_213646 
200630_x_at	Hs.436687	SET translocation (myeloid leukemia-associated)	SET	NM_003011 
200631_s_at	Hs.436687	SET translocation (myeloid leukemia-associated)	SET	NM_003011 
200632_s_at	Hs.372914	N-myc downstream regulated gene 1	NDRG1	NM_006096 
200633_at	Hs.356190	ubiquitin B /// ubiquitin B	UBB	NM_018955 
200634_at	Hs.494691	profilin 1	PFN1	NM_005022 
200635_s_at	Hs.272062	protein tyrosine phosphatase, receptor type, F	PTPRF	NM_002840 /// NM_130440 
200636_s_at	Hs.272062	protein tyrosine phosphatase, receptor type, F	PTPRF	NM_002840 /// NM_130440 
200637_s_at	Hs.272062	protein tyrosine phosphatase, receptor type, F	PTPRF	NM_002840 /// NM_130440 
200638_s_at	Hs.558651	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	NM_003406 /// NM_145690 
200639_s_at	Hs.558651	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	NM_003406 /// NM_145690 
200640_at	Hs.558651	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	NM_003406 /// NM_145690 
200641_s_at	Hs.558651	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	YWHAZ	NM_003406 /// NM_145690 
200642_at	Hs.443914	superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))	SOD1	NM_000454 
200643_at	Hs.471851	high density lipoprotein binding protein (vigilin)	HDLBP	NM_005336 /// NM_203346 
200644_at	Hs.75061	MARCKS-like 1	MARCKSL1	NM_023009 
200645_at	Hs.84359	GABA(A) receptor-associated protein	GABARAP	NM_007278 
200646_s_at	Hs.515524	nucleobindin 1	NUCB1	NM_006184 
200647_x_at	Hs.192425	eukaryotic translation initiation factor 3, subunit 8, 110kDa	EIF3S8	NM_003752 
200648_s_at	Hs.518525	glutamate-ammonia ligase (glutamine synthetase)	GLUL	NM_001033044 /// NM_001033056 /// NM_002065 
200649_at	Hs.515524	nucleobindin 1	NUCB1	NM_006184 
200650_s_at	Hs.2795	lactate dehydrogenase A	LDHA	NM_005566 
200651_at	Hs.5662	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	GNB2L1	NM_006098 
200652_at	Hs.74564	signal sequence receptor, beta (translocon-associated protein beta)	SSR2	NM_003145 
200653_s_at	Hs.282410	calmodulin 1 (phosphorylase kinase, delta)	CALM1	NM_006888 
200654_at	Hs.464336	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase-associated 1)	P4HB	NM_000918 
200655_s_at	Hs.282410	calmodulin 1 (phosphorylase kinase, delta)	CALM1	NM_006888 
200656_s_at	Hs.464336	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase-associated 1)	P4HB	NM_000918 
200657_at	Hs.522767	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	SLC25A5	NM_001152 
200658_s_at	Hs.514303	prohibitin	PHB	NM_002634 
200659_s_at	Hs.514303	prohibitin	PHB	NM_002634 
200660_at	Hs.417004	S100 calcium binding protein A11 (calgizzarin)	S100A11	NM_005620 
200661_at	Hs.517076	protective protein for beta-galactosidase (galactosialidosis)	PPGB	NM_000308 
200662_s_at	Hs.533192	translocase of outer mitochondrial membrane 20 homolog (yeast)	TOMM20	NM_014765 
200663_at	Hs.445570	CD63 antigen (melanoma 1 antigen)	CD63	NM_001780 
200664_s_at	Hs.515210	DnaJ (Hsp40) homolog, subfamily B, member 1	DNAJB1	NM_006145 
200665_s_at	Hs.111779	secreted protein, acidic, cysteine-rich (osteonectin) /// secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	NM_003118 
200666_s_at	Hs.515210	DnaJ (Hsp40) homolog, subfamily B, member 1	DNAJB1	NM_006145 
200667_at	Hs.518773	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	UBE2D3	NM_003340 /// NM_181886 /// NM_181887 /// NM_181888 /// NM_181889 /// NM_181890 /// NM_181891 /// NM_181892 /// NM_181893 
200668_s_at	Hs.518773	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	UBE2D3	NM_003340 /// NM_181886 /// NM_181887 /// NM_181888 /// NM_181889 /// NM_181890 /// NM_181891 /// NM_181892 /// NM_181893 
200669_s_at	Hs.518773	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	UBE2D3	NM_003340 /// NM_181886 /// NM_181887 /// NM_181888 /// NM_181889 /// NM_181890 /// NM_181891 /// NM_181892 /// NM_181893 
200670_at	Hs.437638	X-box binding protein 1	XBP1	NM_005080 
200671_s_at	Hs.503178	spectrin, beta, non-erythrocytic 1	SPTBN1	NM_003128 /// NM_178313 
200672_x_at	Hs.503178	spectrin, beta, non-erythrocytic 1	SPTBN1	NM_003128 /// NM_178313 
200673_at	Hs.467807	lysosomal-associated protein transmembrane 4 alpha	LAPTM4A	NM_014713 
200674_s_at	Hs.265174	ribosomal protein L32	RPL32	NM_000994 /// NM_001007073 /// NM_001007074 
200675_at	Hs.54457	CD81 antigen (target of antiproliferative antibody 1)	CD81	NM_004356 
200676_s_at	Hs.108104	ubiquitin-conjugating enzyme E2L 3	UBE2L3	NM_003347 /// NM_198157 
200677_at	Hs.474010	pituitary tumor-transforming 1 interacting protein	PTTG1IP	NM_004339 
200678_x_at	Hs.514220	granulin	GRN	NM_001012479 /// NM_002087 
200679_x_at	Hs.434102	high-mobility group box 1	HMGB1	NM_002128 
200680_x_at	Hs.434102	high-mobility group box 1	HMGB1	NM_002128 
200681_at	Hs.268849	glyoxalase I	GLO1	NM_006708 
200682_s_at	Hs.108104	ubiquitin-conjugating enzyme E2L 3	UBE2L3	NM_003347 /// NM_198157 
200683_s_at	Hs.108104	ubiquitin-conjugating enzyme E2L 3	UBE2L3	NM_003347 /// NM_198157 
200684_s_at	Hs.108104	ubiquitin-conjugating enzyme E2L 3	UBE2L3	NM_003347 /// NM_198157 
200685_at	Hs.479693	splicing factor, arginine/serine-rich 11	SFRS11	NM_004768 
200686_s_at	Hs.479693	splicing factor, arginine/serine-rich 11	SFRS11	NM_004768 
200687_s_at	Hs.514435	splicing factor 3b, subunit 3, 130kDa	SF3B3	NM_012426 
200688_at	Hs.514435	splicing factor 3b, subunit 3, 130kDa	SF3B3	NM_012426 
200689_x_at	Hs.144835	eukaryotic translation elongation factor 1 gamma	EEF1G	NM_001404 
200690_at	Hs.184233	heat shock 70kDa protein 9B (mortalin-2)	HSPA9B	NM_004134 
200691_s_at	Hs.184233	heat shock 70kDa protein 9B (mortalin-2)	HSPA9B	NM_004134 
200692_s_at	Hs.184233	heat shock 70kDa protein 9B (mortalin-2)	HSPA9B	NM_004134 
200693_at	Hs.74405	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide /// mindbomb homolog 1 (Drosophila)	YWHAQ /// MIB1	NM_006826 /// NM_020774 
200694_s_at	Hs.510328	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	DDX24	NM_020414 
200695_at	Hs.467192	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), alpha isoform	PPP2R1A	NM_014225 
200696_s_at	Hs.522373	gelsolin (amyloidosis, Finnish type)	GSN	NM_000177 /// NM_198252 
200697_at	Hs.370365	hexokinase 1	HK1	NM_000188 /// NM_033496 /// NM_033497 /// NM_033498 /// NM_033500 
200698_at	Hs.520210	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	NM_006854 
200699_at	Hs.520210	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	NM_006854 
200700_s_at	Hs.520210	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	KDELR2	NM_006854 
200701_at	Hs.433222	Niemann-Pick disease, type C2	NPC2	NM_006432 
200702_s_at	Hs.510328	DEAD (Asp-Glu-Ala-Asp) box polypeptide 24	DDX24	NM_020414 
200703_at	Hs.5120	dynein, cytoplasmic, light polypeptide 1	DNCL1	NM_003746 
200704_at	Hs.459940	lipopolysaccharide-induced TNF factor	LITAF	NM_004862 
200705_s_at	Hs.558322	eukaryotic translation elongation factor 1 beta 2	EEF1B2	NM_001959 /// NM_021121 
200706_s_at	Hs.459940	lipopolysaccharide-induced TNF factor	LITAF	NM_004862 
200707_at	Hs.512640	protein kinase C substrate 80K-H	PRKCSH	NM_001001329 /// NM_002743 
200708_at	Hs.460929	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	GOT2	NM_002080 
200709_at	Hs.471933	FK506 binding protein 1A, 12kDa	FKBP1A	NM_000801 /// NM_054014 
200710_at	Hs.437178	acyl-Coenzyme A dehydrogenase, very long chain	ACADVL	NM_000018 /// NM_001033859 
